rank,rankChange,symbolCode,shortCode,code,name,isNew,tradePrice,change,changePrice,changeRate,signedChangeRate,accTradeVolume,accTradePrice,chartSlideImage,boardUrl
1,1,A005930,A005930,KR7005930003,삼성전자,False,55900,RISE,1500,0.0275735294,0.0275735294,18846031,1048367394900,,https://finance.daum.net/quotes/A005930#talks
2,-1,A000660,A000660,KR7000660001,SK하이닉스,False,199800,RISE,17900,0.0984057174,0.0984057174,7248856,1400870631100,,https://finance.daum.net/quotes/A000660#talks
3,0,A035720,A035720,KR7035720002,카카오,False,39150,RISE,1100,0.0289093298,0.0289093298,1443997,55818626900,,https://finance.daum.net/quotes/A035720#talks
4,0,A277810,A277810,KR7277810008,레인보우로보틱스,False,233000,EVEN,0,0.0,0.0,1920599,454041214500,,https://finance.daum.net/quotes/A277810#talks
5,2,A068270,A068270,KR7068270008,셀트리온,False,183700,RISE,2800,0.0154781647,0.0154781647,455635,83264173600,,https://finance.daum.net/quotes/A068270#talks
6,-1,A065350,A065350,KR7065350001,신성델타테크,False,113800,RISE,11700,0.1145935357,0.1145935357,1216563,132663943800,,https://finance.daum.net/quotes/A065350#talks
7,0,A035420,A035420,KR7035420009,NAVER,True,208500,RISE,8000,0.0399002494,0.0399002494,763531,157840513000,,https://finance.daum.net/quotes/A035420#talks
8,0,A069500,A069500,KR7069500007,KODEX 200,True,33330,RISE,700,0.0214526509,0.0214526509,4889952,161723483220,,https://finance.daum.net/quotes/A069500#talks
9,-1,A096530,A096530,KR7096530001,씨젠,False,27850,RISE,3850,0.1604166667,0.1604166667,8084206,220181555900,,https://finance.daum.net/quotes/A096530#talks
10,0,A042700,A042700,KR7042700005,한미반도체,True,99500,RISE,6200,0.0664523044,0.0664523044,1698278,167408082400,,https://finance.daum.net/quotes/A042700#talks
